Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.4860731875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860734375, 0, 1, 1, 1, 1, 1, 1, 0
1.486074125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860744375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860746875, 0, 0, 0, 1, 1, 0, 1, 0
1.486075375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860756875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860759375, 0, 0, 0, 0, 1, 1, 1, 0
1.486076625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860769375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860771875, 0, 0, 1, 1, 0, 0, 0, 0
1.486077875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860781875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860784375, 0, 1, 1, 1, 0, 0, 0, 0
1.486079125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860794375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860796875, 0, 1, 1, 1, 0, 0, 0, 0
1.486080375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860806875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860809375, 0, 1, 1, 1, 0, 0, 0, 0
1.486081625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860819375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860821875, 0, 0, 1, 1, 0, 0, 0, 0
1.486082875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860831875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860834375, 0, 0, 0, 1, 0, 0, 0, 0
1.486084125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860844375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860846875, 0, 0, 0, 0, 0, 0, 0, 0
1.48608475, 0, 0, 0, 1, 0, 0, 0, 0
1.486085375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860856875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860859375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860869375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860871875, 0, 0, 1, 1, 1, 1, 1, 0
1.486087875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860881875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860884375, 0, 1, 1, 1, 1, 1, 1, 0
1.486089125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860894375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860896875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860906875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860909375, 0, 1, 0, 1, 1, 1, 0, 0
1.486091625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860919375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860921875, 0, 1, 1, 1, 1, 0, 0, 0
1.486092875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860931875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860934375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860935, 0, 0, 0, 0, 0, 0, 1, 0
1.486094125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860944375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860946875, 0, 0, 1, 1, 0, 0, 0, 0
1.48609475, 0, 0, 1, 0, 0, 0, 0, 0
1.486095375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860956875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860959375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860969375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860971875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860981875, 1, 1, 1, 1, 1, 1, 0, 1
1.48609825, 1, 1, 1, 1, 1, 1, 1, 1
1.4860984375, 0, 0, 1, 1, 1, 1, 0, 0
1.486099125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860994375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860996875, 0, 1, 1, 1, 1, 1, 1, 0
1.486100375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861006875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861009375, 1, 1, 1, 1, 1, 0, 1, 0
1.486101, 1, 1, 0, 1, 1, 0, 1, 0
1.486101625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861019375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861021875, 0, 1, 0, 1, 0, 0, 1, 0
1.486102875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861031875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861034375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861035, 0, 1, 0, 0, 1, 0, 0, 0
1.486104125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861044375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861046875, 0, 1, 1, 1, 1, 0, 1, 1
1.48610475, 0, 1, 0, 0, 1, 0, 1, 0
1.486105375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861056875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861059375, 0, 0, 1, 1, 1, 1, 0, 0
1.486106625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861069375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861071875, 0, 1, 1, 1, 0, 1, 1, 1
1.48610725, 0, 1, 0, 0, 0, 0, 1, 0
1.486107875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861081875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861085, 1, 1, 1, 1, 1, 0, 0, 1
1.4861085625, 1, 1, 0, 0, 0, 0, 1, 1
1.48610875, 1, 1, 0, 0, 0, 0, 1, 0
1.486109125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861094375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861096875, 1, 0, 0, 0, 0, 0, 0, 0
1.48610975, 1, 1, 0, 0, 0, 0, 1, 0
1.486110375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861106875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861109375, 1, 1, 1, 0, 0, 0, 0, 0
1.486111, 1, 1, 0, 0, 0, 0, 0, 0
1.486111625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861119375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861121875, 0, 0, 0, 0, 0, 0, 0, 0
1.48611225, 0, 1, 0, 0, 0, 0, 0, 0
1.486112875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861131875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861134375, 1, 0, 0, 0, 0, 0, 0, 1
1.4861135, 1, 0, 0, 0, 0, 0, 0, 0
1.486114125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861144375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861146875, 0, 1, 0, 0, 0, 0, 0, 0
1.486115375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861156875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861159375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861169375, 1, 1, 1, 1, 1, 1, 1, 0
1.486117, 1, 1, 1, 1, 1, 1, 1, 1
1.4861171875, 0, 1, 1, 1, 1, 1, 1, 0
1.486117875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861181875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861184375, 1, 1, 1, 1, 1, 1, 0, 0
1.486119125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861194375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861196875, 0, 0, 0, 1, 1, 0, 1, 0
1.486120375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861206875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861209375, 1, 0, 1, 0, 0, 1, 1, 0
1.486121625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861219375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861221875, 1, 1, 1, 0, 0, 1, 0, 0
1.486122875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861231875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861234375, 0, 0, 0, 0, 1, 0, 1, 0
1.486124125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861244375, 1, 1, 1, 1, 1, 1, 0, 1
1.4861245, 1, 1, 1, 1, 1, 1, 1, 1
1.4861246875, 0, 0, 0, 0, 0, 0, 0, 0
1.48612475, 0, 0, 0, 1, 0, 0, 0, 0
1.486125375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861256875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861259375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861269375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861271875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861281875, 1, 1, 1, 1, 1, 1, 1, 0
1.48612825, 1, 1, 1, 1, 1, 1, 1, 1
1.4861284375, 0, 0, 1, 1, 1, 1, 0, 0
1.486129125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861294375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861296875, 0, 1, 1, 1, 1, 1, 1, 0
1.486130375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861306875, 1, 1, 1, 1, 1, 1, 1, 0
1.48613075, 1, 1, 1, 1, 1, 1, 1, 1
1.4861309375, 1, 0, 0, 1, 1, 0, 1, 0
1.486131, 1, 1, 0, 1, 1, 0, 1, 0
1.486131625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861319375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861321875, 0, 1, 1, 1, 1, 0, 1, 0
1.48613225, 0, 1, 0, 1, 1, 0, 1, 0
1.486132875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861331875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861334375, 0, 1, 0, 0, 0, 0, 0, 0
1.486134125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861344375, 1, 1, 1, 1, 1, 1, 1, 0
1.4861345, 1, 1, 1, 1, 1, 1, 1, 1
1.4861346875, 0, 0, 0, 0, 0, 0, 0, 0
1.48613475, 0, 1, 0, 0, 0, 0, 1, 0
1.486135375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861356875, 1, 1, 1, 1, 1, 1, 1, 0
1.48613575, 1, 1, 1, 1, 1, 1, 1, 1
1.4861359375, 0, 0, 1, 1, 0, 0, 0, 0
1.486136625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861369375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861371875, 0, 0, 0, 0, 1, 1, 1, 0
1.48613725, 0, 1, 0, 0, 1, 1, 1, 0
1.486137875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861381875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861384375, 1, 1, 1, 0, 1, 1, 1, 1
1.4861385, 1, 1, 0, 0, 1, 1, 1, 0
1.486139125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861394375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861396875, 1, 1, 0, 0, 1, 1, 1, 0
1.486140375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861406875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861409375, 1, 0, 0, 0, 1, 1, 0, 0
